match_id,home_team,away_team
M073,2A,2B
M074,1C,2F
M075,1E,3ABCDF
M076,1F,2C
M077,2E,2I
M078,1I,3CDFGH
M079,1A,3CEFHI
M080,1L,3EHIJK
M081,1G,3AEHIJ
M082,1D,3BEFIJ
M083,1H,2J
M084,2K,2L
M085,1B,3EFGIJ
M086,2D,2G
M087,1J,2H
M088,1K,3DEIJL
M089,winner_M073,winner_M076
M090,winner_M075,winner_M078
M091,winner_M074,winner_M077
M092,winner_M079,winner_M080
M093,winner_M084,winner_M083
M094,winner_M082,winner_M081
M095,winner_M087,winner_M086
M096,winner_M085,winner_M088
M097,winner_M090,winner_M089
M098,winner_M093,winner_M094
M099,winner_M091,winner_M092
M100,winner_M095,winner_M096
M101,winner_M097,winner_M098
M102,winner_M099,winner_M100
M103,loser_M101,loser_M102
M104,winner_M101,winner_M102
