match_id,stage,match_date,home_team,away_team
M001,group_stage,11-06-2026,T01,T02
M002,group_stage,11-06-2026,T03,T04
M003,group_stage,12-06-2026,T05,T06
M004,group_stage,12-06-2026,T13,T14
M005,group_stage,13-06-2026,T11,T12
M006,group_stage,13-06-2026,T15,T16
M007,group_stage,13-06-2026,T09,T10
M008,group_stage,13-06-2026,T07,T08
M009,group_stage,14-06-2026,T19,T20
M010,group_stage,14-06-2026,T17,T18
M011,group_stage,14-06-2026,T21,T22
M012,group_stage,14-06-2026,T23,T24
M013,group_stage,15-06-2026,T31,T32
M014,group_stage,15-06-2026,T29,T30
M015,group_stage,15-06-2026,T27,T28
M016,group_stage,15-06-2026,T25,T26
M017,group_stage,16-06-2026,T33,T34
M018,group_stage,16-06-2026,T35,T36
M019,group_stage,16-06-2026,T37,T38
M020,group_stage,16-06-2026,T39,T40
M021,group_stage,17-06-2026,T47,T48
M022,group_stage,17-06-2026,T45,T46
M023,group_stage,17-06-2026,T41,T42
M024,group_stage,17-06-2026,T43,T44
M025,group_stage,18-06-2026,T04,T02
M026,group_stage,18-06-2026,T08,T06
M027,group_stage,18-06-2026,T05,T07
M028,group_stage,18-06-2026,T01,T03
M029,group_stage,19-06-2026,T09,T11
M030,group_stage,19-06-2026,T12,T10
M031,group_stage,19-06-2026,T16,T14
M032,group_stage,19-06-2026,T13,T15
M033,group_stage,20-06-2026,T17,T19
M034,group_stage,20-06-2026,T20,T18
M035,group_stage,20-06-2026,T21,T23
M036,group_stage,20-06-2026,T24,T22
M037,group_stage,21-06-2026,T32,T30
M038,group_stage,21-06-2026,T29,T31
M039,group_stage,21-06-2026,T25,T27
M040,group_stage,21-06-2026,T28,T26
M041,group_stage,22-06-2026,T36,T34
M042,group_stage,22-06-2026,T33,T35
M043,group_stage,22-06-2026,T37,T39
M044,group_stage,22-06-2026,T40,T38
M045,group_stage,23-06-2026,T45,T47
M046,group_stage,23-06-2026,T48,T46
M047,group_stage,23-06-2026,T41,T43
M048,group_stage,23-06-2026,T44,T42
M049,group_stage,24-06-2026,T12,T09
M050,group_stage,24-06-2026,T10,T11
M051,group_stage,24-06-2026,T08,T05
M052,group_stage,24-06-2026,T06,T07
M053,group_stage,24-06-2026,T04,T01
M054,group_stage,24-06-2026,T02,T03
M055,group_stage,25-06-2026,T18,T19
M056,group_stage,25-06-2026,T20,T17
M057,group_stage,25-06-2026,T22,T23
M058,group_stage,25-06-2026,T24,T21
M059,group_stage,25-06-2026,T16,T13
M060,group_stage,25-06-2026,T14,T15
M061,group_stage,26-06-2026,T36,T33
M062,group_stage,26-06-2026,T34,T35
M063,group_stage,26-06-2026,T26,T27
M064,group_stage,26-06-2026,T28,T25
M065,group_stage,26-06-2026,T30,T31
M066,group_stage,26-06-2026,T32,T29
M067,group_stage,27-06-2026,T48,T45
M068,group_stage,27-06-2026,T46,T47
M069,group_stage,27-06-2026,T38,T39
M070,group_stage,27-06-2026,T40,T37
M071,group_stage,27-06-2026,T44,T41
M072,group_stage,27-06-2026,T42,T43
M073,round_of_32,28-06-2026,,
M074,round_of_32,29-06-2026,,
M075,round_of_32,29-06-2026,,
M076,round_of_32,29-06-2026,,
M077,round_of_32,30-06-2026,,
M078,round_of_32,30-06-2026,,
M079,round_of_32,30-06-2026,,
M080,round_of_32,01-07-2026,,
M081,round_of_32,01-07-2026,,
M082,round_of_32,01-07-2026,,
M083,round_of_32,02-07-2026,,
M084,round_of_32,02-07-2026,,
M085,round_of_32,02-07-2026,,
M086,round_of_32,03-07-2026,,
M087,round_of_32,03-07-2026,,
M088,round_of_32,03-07-2026,,
M089,round_of_16,04-07-2026,,
M090,round_of_16,04-07-2026,,
M091,round_of_16,05-07-2026,,
M092,round_of_16,05-07-2026,,
M093,round_of_16,06-07-2026,,
M094,round_of_16,06-07-2026,,
M095,round_of_16,07-07-2026,,
M096,round_of_16,07-07-2026,,
M097,quarter_final,09-07-2026,,
M098,quarter_final,10-07-2026,,
M099,quarter_final,11-07-2026,,
M100,quarter_final,11-07-2026,,
M101,semi_final,14-07-2026,,
M102,semi_final,15-07-2026,,
M103,third_place,18-07-2026,,
M104,final,19-07-2026,,
